Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
572	167	569.5322	1552	569.5340	3119	569.5354	1386	569.5347		
573	217	569.5335	1552	569.5340	3119	569.5354	1386	569.5347		
574	167	569.5322	1552	569.5340	3379	569.5363	1386	569.5347		
575	217	569.5335	1552	569.5340	3379	569.5363	1386	569.5347		
576			463	690.3563	896	690.3564	447	690.3555		
577			614	662.3486	1121	662.3514	554	662.3509		
578			581	263.1762			533	263.1754		
579			823	454.3068	589	454.3022	713	454.3068		
580			530	608.2626			495	608.2613		
581			976	425.1374	1951	425.1367	804	425.1358		
582			976	425.1374	1951	425.1367	850	425.1359		
583			1225	336.3106	2309	336.3113	1008	336.3107		
584			1225	336.3106	2233	336.3110	1008	336.3107		
585			1225	336.3106	2374	336.3112	1008	336.3107		
586			1225	336.3106	2309	336.3113	969	336.3106		
587			1225	336.3106	2233	336.3110	969	336.3106		
588			1225	336.3106	2374	336.3112	969	336.3106		
589			1542	433.3325	3106	433.3324	1264	433.3307		
590			980	446.2367	1865	446.2380	853	446.2366		
591			869	446.2373	1865	446.2380	853	446.2366		
592			928	446.2368	1865	446.2380	853	446.2366		
593			980	446.2367	1954	446.2379	853	446.2366		
594			869	446.2373	1954	446.2379	853	446.2366		
595			928	446.2368	1954	446.2379	853	446.2366		
596					309	558.3493	233	558.3551		
597			197	434.2861	542	434.2843	153	434.2850		
598			1077	163.0756	2157	163.0759	917	163.0754	427	163.0755
599			328	530.2830	663	530.2858	360	530.2849		
600			1559	716.5321	3139	716.5322				
601			1301	378.2774	2386	378.2691	1079	378.2788		
602			1528	473.1051			1255	473.1047		
603			484	647.3326	932	647.3334	431	647.3334		
604			584	511.2881	1688	511.2893	537	511.2862		
605			584	511.2881			161	511.2905		
606			1676	680.4785	3439	680.4793	1397	680.4795	1010	680.4812
607			1743	632.5824	3596	632.5837	1441	632.5825		
608			662	892.4456	1168	892.4448	591	892.4423		
609			1456	393.2918	2880	393.2910	1196	393.2915	829	393.2917
610			673	808.4113	1259	808.4085	604	808.4122		
